track_name,album_name,artist_name,ms_played
Lo Que Siento,Lo Que Siento,Cuco,1346
Nuestro Planeta (feat. Reykon),Isolation,Kali Uchis,202753
Self Righteous,T R A P S O U L (Deluxe),Bryson Tiller,241406
Bouncin',333,Tinashe,175092
N Side,Apollo XXI,Steve Lacy,224387
Dame Beso // Muévete,ORQUÍDEAS,Kali Uchis,215666
SOS,SOS,SZA,117773
Ring (feat. Kehlani),Invasion of Privacy,Cardi B,4026
//aguardiente y limón %ᵕ‿‿ᵕ%,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,161539
Igual Que Un Ángel (with Peso Pluma),ORQUÍDEAS,Kali Uchis,260370
Friendly Pressure - Into The Sunshine Edit,Friendly Pressure (Sunship Remixes),Jhelisa,229760
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Surprise,Crystal Waters,78645
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Surprise,Crystal Waters,451826
Open (Passionate),It Was Good Until It Wasn't,Kehlani,245674
Can We Talk,The Best of Tevin Campbell,Tevin Campbell,284586
Adorn,Kaleidoscope Dream,Miguel,193146
Weak,It's About Time,SWV,291906
Mine (feat. Drake),BEYONCÉ [Platinum Edition],Beyoncé,378600
Moment,JAGUAR,Victoria Monét,179413
angel,TO FEEL ALIVE EP,Kali Uchis,143225
Love Galore (Alt Version),Ctrl (Deluxe),SZA,273777
Me Pongo Loca,ORQUÍDEAS,Kali Uchis,177815
B.S. (feat. H.E.R.),Chilombo,Jhené Aiko,212866
Out of Time,Dawn FM,The Weeknd,2997
Awkward,Ctrl (Deluxe),SZA,178000
Gone Girl,SOS,SZA,7179
Igual Que Un Ángel (with Peso Pluma),ORQUÍDEAS,Kali Uchis,859
Garden (Say It Like Dat),Ctrl,SZA,1486
Broken Clocks,Ctrl,SZA,231253
Smooth Operator - Single Version,The Best of Sade,Sade,258693
Change Your Life (feat. Jhené Aiko),It Was Good Until It Wasn't,Kehlani,191128
Dead To Me,Isolation,Kali Uchis,199504
The Morning,House Of Balloons,The Weeknd,314109
Percolator,Ctrl (Deluxe),SZA,84000
Hit Different,Hit Different,SZA,202007
Muñekita (with El Alfa & JT),ORQUÍDEAS,Kali Uchis,8796
8,CRASH,Kehlani,150262
Tears (feat. Omah Lay),CRASH,Kehlani,213064
Losing You,Losing You,Solange,260399
Ciao!,Bryson Tiller,Bryson Tiller,52695
Nasty,Nasty,Tinashe,176027
Needs,BB/ANG3L,Tinashe,146791
ALIEN SUPERSTAR,RENAISSANCE,Beyoncé,6534
Stormy Weather,Songs For You,Tinashe,138878
Stormy Weather,Songs For You,Tinashe,50928
FEEL LIKE,TECHNICOLOR,Josh Fudge,2711
Heavy,CINEMA,The Marías,253213
Sweep Me Off My Feet,The Weather,Pond,10472
Forget,Froot,MARINA,1277
Good At,Tina Snow,Megan Thee Stallion,230646
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444
BOA,BOA,Megan Thee Stallion,154732
TGIF,TGIF,GloRilla,79781
SWEET ★ HONEY ★ BUCKIIN',COWBOY CARTER,Beyoncé,224258
F.U.C.K.,F.U.C.K.,Victoria Monét,205373
Let Me Explain,Let Me Explain,Bryson Tiller,223969
Where I'm From (feat. Mereba),HYPNOS,Ravyn Lenae,224933
Let Me Explain,Let Me Explain,Bryson Tiller,9002
get me started (feat. syd),blue water road,Kehlani,1462
Can I,It Was Good Until It Wasn't,Kehlani,1044
Hit Different,Hit Different,SZA,3297
Hit Different,Hit Different,SZA,203376
Sativa,Trip,Jhené Aiko,10408
Dream Girl,Dream Girl,Ravyn Lenae,219051
M.I.A.,HYPNOS,Ravyn Lenae,207906
Xtasy (Remix) [feat. Doechii],Xtasy (Remix) [feat. Doechii],Ravyn Lenae,270497
Sticky,Sticky,Ravyn Lenae,196754
Persuasive (with SZA),Persuasive (with SZA),Doechii,210346
POP!,POP!,Adanna Duru,0
Nasty,Nasty,Tinashe,176027
New Flame (feat. Usher & Rick Ross),X (Expanded Edition),Chris Brown,187498
2 On (feat. ScHoolboy Q),Aquarius,Tinashe,7850
New Flame (feat. Usher & Rick Ross),X (Expanded Edition),Chris Brown,244226
Out of Time,Dawn FM,The Weeknd,17880
Can You Blame Me (feat. Lucky Daye),It Was Good Until It Wasn't,Kehlani,183019
Love Drought,Lemonade,Beyoncé,237440
Sound of Rain,When I Get Home,Solange,185959
Don’t Break My Heart,Dawn FM,The Weeknd,17940
Get You (feat. Kali Uchis),Freudian,Daniel Caesar,1140
Weak,It's About Time,SWV,291906
Pink Matter,channel ORANGE,Frank Ocean,3750
Feels,While We Wait,Kehlani,181140
PRICE OF FAME,WASTELAND,Brent Faiyaz,201306
fue mejor (feat. SZA),Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,230964
Garden (Say It Like Dat),Ctrl,SZA,48522
Ciao!,Bryson Tiller,Bryson Tiller,480
Right Side of My Neck,Atlanta Millionaires Club,Faye Webster,1070
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",Ty Dolla $ign,242983
Right Side of My Neck,Atlanta Millionaires Club,Faye Webster,153320
Dance Dance Dance Dance,TIMELESS,KAYTRANADA,102873
