track_name,album_name,artist_name,ms_played,date_listened,platform
Girl (feat. KAYTRANADA),Ego Death,The Internet,415613,2024-06-24,ios
fue mejor (feat. SZA),Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,230964,2024-06-24,ios
Nxwhere,Division,Jenevieve,197000,2024-06-24,ios
DEAD MAN WALKING,WASTELAND,Brent Faiyaz,247079,2024-06-24,ios
Sunshine (feat. Fousheé),Gemini Rights,Steve Lacy,293426,2024-06-24,ios
Losing You,Losing You,Solange,260399,2024-06-24,ios
Good At,Tina Snow,Megan Thee Stallion,230646,2024-06-24,ios
No Love (with SZA),Still Over It,Summer Walker,231497,2024-06-24,ios
Nasty,Nasty,Tinashe,219136,2024-06-24,ios
Tomorrow's Dust,The Slow Rush,Tame Impala,317221,2024-06-24,ios
Nuestro Planeta (feat. Reykon),Isolation,Kali Uchis,202753,2024-06-24,ios
Self Righteous,T R A P S O U L (Deluxe),Bryson Tiller,241406,2024-06-24,ios
Bouncin',333,Tinashe,175092,2024-06-24,ios
N Side,Apollo XXI,Steve Lacy,224387,2024-06-24,ios
Dame Beso // Muévete,ORQUÍDEAS,Kali Uchis,215666,2024-06-24,ios
SOS,SOS,SZA,117773,2024-06-24,ios
//aguardiente y limón %ᵕ‿‿ᵕ%,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,161539,2024-06-25,ios
Igual Que Un Ángel (with Peso Pluma),ORQUÍDEAS,Kali Uchis,260370,2024-06-25,ios
Friendly Pressure - Into The Sunshine Edit,Friendly Pressure (Sunship Remixes),Jhelisa,229760,2024-06-25,ios
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Surprise,Crystal Waters,78645,2024-06-25,ios
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Surprise,Crystal Waters,451826,2024-06-25,ios
Open (Passionate),It Was Good Until It Wasn't,Kehlani,245674,2024-06-25,ios
Can We Talk,The Best of Tevin Campbell,Tevin Campbell,284586,2024-06-25,ios
Adorn,Kaleidoscope Dream,Miguel,193146,2024-06-25,ios
Weak,It's About Time,SWV,291906,2024-06-25,ios
Mine (feat. Drake),BEYONCÉ [Platinum Edition],Beyoncé,378600,2024-06-25,ios
Moment,JAGUAR,Victoria Monét,179413,2024-06-25,ios
angel,TO FEEL ALIVE EP,Kali Uchis,143225,2024-06-25,ios
Love Galore (Alt Version),Ctrl (Deluxe),SZA,273777,2024-06-25,ios
Me Pongo Loca,ORQUÍDEAS,Kali Uchis,177815,2024-06-25,ios
B.S. (feat. H.E.R.),Chilombo,Jhené Aiko,212866,2024-06-25,ios
Awkward,Ctrl (Deluxe),SZA,178000,2024-06-25,ios
Broken Clocks,Ctrl,SZA,231253,2024-06-25,ios
Smooth Operator - Single Version,The Best of Sade,Sade,258693,2024-06-25,ios
Change Your Life (feat. Jhené Aiko),It Was Good Until It Wasn't,Kehlani,191128,2024-06-25,ios
Dead To Me,Isolation,Kali Uchis,199504,2024-06-25,ios
The Morning,House Of Balloons,The Weeknd,314109,2024-06-25,ios
Percolator,Ctrl (Deluxe),SZA,84000,2024-06-25,ios
Hit Different,Hit Different,SZA,202007,2024-06-25,ios
8,CRASH,Kehlani,150262,2024-06-25,ios
Tears (feat. Omah Lay),CRASH,Kehlani,213064,2024-06-25,ios
Losing You,Losing You,Solange,260399,2024-06-25,ios
Ciao!,Bryson Tiller,Bryson Tiller,52695,2024-06-25,ios
Nasty,Nasty,Tinashe,176027,2024-06-25,ios
Needs,BB/ANG3L,Tinashe,146791,2024-06-25,ios
Stormy Weather,Songs For You,Tinashe,138878,2024-06-25,ios
Stormy Weather,Songs For You,Tinashe,50928,2024-06-25,ios
Heavy,CINEMA,The Marías,253213,2024-06-25,ios
Good At,Tina Snow,Megan Thee Stallion,230646,2024-06-26,ios
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850,2024-06-26,ios
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444,2024-06-26,ios
BOA,BOA,Megan Thee Stallion,154732,2024-06-26,ios
TGIF,TGIF,GloRilla,79781,2024-06-26,ios
SWEET ★ HONEY ★ BUCKIIN',COWBOY CARTER,Beyoncé,224258,2024-06-26,ios
F.U.C.K.,F.U.C.K.,Victoria Monét,205373,2024-06-26,ios
Let Me Explain,Let Me Explain,Bryson Tiller,223969,2024-06-26,ios
Where I'm From (feat. Mereba),HYPNOS,Ravyn Lenae,224933,2024-06-26,ios
Hit Different,Hit Different,SZA,203376,2024-06-27,ios
Dream Girl,Dream Girl,Ravyn Lenae,219051,2024-06-27,ios
M.I.A.,HYPNOS,Ravyn Lenae,207906,2024-06-27,ios
Xtasy (Remix) [feat. Doechii],Xtasy (Remix) [feat. Doechii],Ravyn Lenae,270497,2024-06-27,ios
Sticky,Sticky,Ravyn Lenae,196754,2024-06-27,ios
Persuasive (with SZA),Persuasive (with SZA),Doechii,210346,2024-06-27,ios
Nasty,Nasty,Tinashe,176027,2024-06-27,ios
New Flame (feat. Usher & Rick Ross),X (Expanded Edition),Chris Brown,187498,2024-06-27,ios
New Flame (feat. Usher & Rick Ross),X (Expanded Edition),Chris Brown,244226,2024-06-27,ios
Can You Blame Me (feat. Lucky Daye),It Was Good Until It Wasn't,Kehlani,183019,2024-06-27,ios
Love Drought,Lemonade,Beyoncé,237440,2024-06-27,ios
Sound of Rain,When I Get Home,Solange,185959,2024-06-27,ios
Weak,It's About Time,SWV,291906,2024-06-27,ios
Feels,While We Wait,Kehlani,181140,2024-06-27,ios
PRICE OF FAME,WASTELAND,Brent Faiyaz,201306,2024-06-27,ios
fue mejor (feat. SZA),Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,230964,2024-06-27,ios
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",Ty Dolla $ign,242983,2024-06-27,ios
Right Side of My Neck,Atlanta Millionaires Club,Faye Webster,153320,2024-06-27,ios
Dance Dance Dance Dance,TIMELESS,KAYTRANADA,102873,2024-06-27,ios
Stepped On,TIMELESS,KAYTRANADA,181105,2024-06-27,ios
Hamptons,Submarine,The Marías,188400,2024-06-27,ios
Grillz,Sweatsuit,Nelly,172600,2024-06-28,ios
HISS,MEGAN,Megan Thee Stallion,192818,2024-06-28,ios
Rattle,MEGAN,Megan Thee Stallion,205416,2024-06-28,ios
Figueroa,MEGAN,Megan Thee Stallion,143783,2024-06-28,ios
Where Them Girls At,MEGAN,Megan Thee Stallion,191711,2024-06-28,ios
Broke His Heart,MEGAN,Megan Thee Stallion,159156,2024-06-28,ios
B.A.S. (feat. Kyle Richh),MEGAN,Megan Thee Stallion,206461,2024-06-28,ios
Otaku Hot Girl,MEGAN,Megan Thee Stallion,158663,2024-06-28,ios
Find Out,MEGAN,Megan Thee Stallion,155767,2024-06-28,ios
BOA,MEGAN,Megan Thee Stallion,154732,2024-06-28,ios
Mamushi (feat. Yuki Chiba),MEGAN,Megan Thee Stallion,156988,2024-06-28,ios
Accent (feat. GloRilla),MEGAN,Megan Thee Stallion,199741,2024-06-28,ios
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802,2024-06-28,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-06-28,ios
Down Stairs DJ,MEGAN,Megan Thee Stallion,164000,2024-06-28,ios
Miami Blue (feat. Big K.R.I.T. & Buddah Bless),MEGAN,Megan Thee Stallion,157500,2024-06-28,ios
Worthy,MEGAN,Megan Thee Stallion,139371,2024-06-28,ios
Moody Girl,MEGAN,Megan Thee Stallion,167529,2024-06-28,ios
Cobra,MEGAN,Megan Thee Stallion,168932,2024-06-28,ios
Where Them Girls At,MEGAN,Megan Thee Stallion,191711,2024-06-28,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-06-28,ios
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802,2024-06-28,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-06-28,ios
Accent (feat. GloRilla),MEGAN,Megan Thee Stallion,199741,2024-06-28,ios
8,CRASH,Kehlani,150262,2024-06-28,ios
Getting No Sleep,Getting No Sleep,Tinashe,192000,2024-06-28,ios
Snap My Finger (feat. PinkPantheress),TIMELESS,KAYTRANADA,201371,2024-06-28,ios
Where Them Girls At,MEGAN,Megan Thee Stallion,191711,2024-06-28,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-06-28,ios
Where Them Girls At,MEGAN,Megan Thee Stallion,191711,2024-06-28,ios
Figueroa,MEGAN,Megan Thee Stallion,143783,2024-06-28,ios
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802,2024-06-28,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-06-28,ios
Moody Girl,MEGAN,Megan Thee Stallion,167529,2024-06-28,ios
Freaky Girls (feat. SZA),Good News,Megan Thee Stallion,166906,2024-06-28,ios
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850,2024-06-28,ios
Mad (feat. Lil Wayne),A Seat at the Table,Solange,235493,2024-06-28,ios
Captain Hook,Suga,Megan Thee Stallion,176749,2024-06-28,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-06-28,ios
Co-Star,Fountain Baby,Amaarae,152183,2024-06-29,ios
Where Them Girls At,MEGAN,Megan Thee Stallion,191711,2024-06-29,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-06-29,ios
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802,2024-06-29,ios
Mamushi (feat. Yuki Chiba),MEGAN,Megan Thee Stallion,156988,2024-06-29,ios
Moody Girl,MEGAN,Megan Thee Stallion,167529,2024-06-29,ios
8,CRASH,Kehlani,150262,2024-06-29,ios
B.A.S. (feat. Kyle Richh),MEGAN,Megan Thee Stallion,206461,2024-06-29,ios
Otaku Hot Girl,MEGAN,Megan Thee Stallion,158663,2024-06-29,ios
Good At,Tina Snow,Megan Thee Stallion,230646,2024-06-29,ios
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444,2024-06-29,ios
Freaky Girls (feat. SZA),Good News,Megan Thee Stallion,166906,2024-06-29,ios
2 On (feat. ScHoolboy Q),Aquarius,Tinashe,227000,2024-06-29,ios
Tomorrow 2 (with Cardi B),"Anyways, Life’s Great…",GloRilla,209811,2024-06-29,ios
OKAY,OKAY,JT,164074,2024-06-29,ios
Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,276333,2024-06-29,ios
3500 (feat. Future & 2 Chainz),Rodeo,Travis Scott,461840,2024-06-29,ios
PMW (All I Really Need) (feat. ScHoolboy Q),LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,234773,2024-06-29,ios
Ric Flair Drip (with Metro Boomin),Without Warning,Offset,172800,2024-06-29,ios
Handsome And Wealthy,No Label II,Migos,210556,2024-06-29,ios
Freak Hoe,DS2 - Deluxe,Future,174733,2024-06-29,ios
Fight Night,No Label II,Migos,216247,2024-06-29,ios
Kelly Price (feat. Travis Scott),Culture,Migos,363934,2024-06-29,ios
lose,Birds In The Trap Sing McKnight,Travis Scott,200452,2024-06-29,ios
Losing You,Losing You,Solange,260399,2024-06-29,ios
Needs,BB/ANG3L,Tinashe,146791,2024-06-29,ios
Stormy Weather,Songs For You,Tinashe,189786,2024-06-29,ios
Talk To Me Nice,BB/ANG3L,Tinashe,229844,2024-06-29,ios
Let Me Down Slowly,333,Tinashe,185777,2024-06-29,ios
Rock The Boat,Aaliyah,Aaliyah,274733,2024-06-29,ios
Bury me (feat. Kelela),Heaven knows,PinkPantheress,124613,2024-06-29,ios
DON'T JEALOUS ME,The Lion King: The Gift,Tekno,155990,2024-06-29,ios
ALREADY,The Lion King: The Gift,Beyoncé,222529,2024-06-29,ios
Echo,Submarine,The Marías,209426,2024-06-29,ios
Ring of Past,Ring of Past,Men I Trust,201523,2024-06-29,ios
Body Do,In Pieces,Chlöe,140197,2024-06-29,ios
Turn It Off,Brand New Eyes,Paramore,259720,2024-06-29,ios
Still into You,Paramore,Paramore,216013,2024-06-29,ios
Rose-Colored Boy,After Laughter,Paramore,212853,2024-06-29,ios
Pool,After Laughter,Paramore,232786,2024-06-29,ios
Hard Times,After Laughter,Paramore,182693,2024-06-29,ios
"Big Man, Little Dignity",This Is Why,Paramore,260384,2024-06-29,ios
Cliffs of Dover,Guitar Hits,Tamás Szekeres,250133,2024-06-29,ios
Get Me Bodied - Extended Mix,B'Day Deluxe Edition,Beyoncé,379120,2024-06-29,ios
Muñekita (with El Alfa & JT),ORQUÍDEAS,Kali Uchis,219642,2024-06-29,ios
Anaconda,The Pinkprint,Nicki Minaj,260240,2024-06-29,ios
ReYup (feat. Spodee),3 Live Krew,Travis Porter,135627,2024-06-29,ios
Back That Azz Up,400 Degreez,JUVENILE,265599,2024-06-29,ios
No Hands (feat. Roscoe Dash & Wale),Flockaveli,Waka Flocka Flame,275912,2024-06-29,ios
Where Them Girls At,MEGAN,Megan Thee Stallion,191711,2024-06-30,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-06-30,ios
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802,2024-06-30,ios
Accent (feat. GloRilla),MEGAN,Megan Thee Stallion,199741,2024-06-30,ios
Shake Dat Ass (Twerk Song),Too Slippery,BossMan Dlow,196442,2024-06-30,ios
Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,276333,2024-06-30,ios
Good At,Tina Snow,Megan Thee Stallion,230646,2024-06-30,ios
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850,2024-06-30,ios
ReYup (feat. Spodee),3 Live Krew,Travis Porter,135627,2024-06-30,ios
Bottoms Up (feat. Nicki Minaj),"Passion, Pain & Pleasure",Trey Songz,242013,2024-06-30,ios
Back That Azz Up,400 Degreez,JUVENILE,265600,2024-06-30,ios
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,249424,2024-06-30,ios
Captain Hook,Suga,Megan Thee Stallion,176749,2024-06-30,ios
